Feedback,Rating,sent_label
"Great support, quick response",2,0
"Great support, quick response",3,1
"Very satisfied, thanks",2,0
Okay service,4,2
"Very satisfied, thanks",4,2
"Very satisfied, thanks",2,0
"Very satisfied, thanks",3,1
"Very satisfied, thanks",2,0
"Terrible experience, unresolved",1,0
"Terrible experience, unresolved",4,2
"Not helpful, had to repeat issue",3,1
"Great support, quick response",2,0
"Very satisfied, thanks",5,2
"Not helpful, had to repeat issue",3,1
"Great support, quick response",4,2
Okay service,2,0
"Terrible experience, unresolved",1,0
"Great support, quick response",4,2
Okay service,3,1
"Great support, quick response",3,1
"Terrible experience, unresolved",2,0
"Terrible experience, unresolved",1,0
"Not helpful, had to repeat issue",2,0
"Very satisfied, thanks",5,2
"Great support, quick response",1,0
"Great support, quick response",5,2
Okay service,1,0
"Terrible experience, unresolved",2,0
"Great support, quick response",3,1
"Terrible experience, unresolved",4,2
"Great support, quick response",3,1
"Not helpful, had to repeat issue",1,0
"Very satisfied, thanks",4,2
"Great support, quick response",2,0
"Terrible experience, unresolved",1,0
"Not helpful, had to repeat issue",4,2
"Great support, quick response",1,0
Okay service,1,0
"Very satisfied, thanks",5,2
"Great support, quick response",3,1
"Not helpful, had to repeat issue",5,2
Okay service,3,1
"Not helpful, had to repeat issue",5,2
"Not helpful, had to repeat issue",4,2
Okay service,1,0
"Not helpful, had to repeat issue",1,0
Okay service,4,2
"Great support, quick response",1,0
Okay service,2,0
Okay service,1,0
"Very satisfied, thanks",1,0
Okay service,5,2
Okay service,5,2
"Great support, quick response",4,2
"Very satisfied, thanks",5,2
"Terrible experience, unresolved",2,0
"Great support, quick response",1,0
"Great support, quick response",5,2
"Terrible experience, unresolved",3,1
Okay service,5,2
"Not helpful, had to repeat issue",2,0
"Very satisfied, thanks",5,2
"Not helpful, had to repeat issue",2,0
"Terrible experience, unresolved",1,0
"Great support, quick response",3,1
"Great support, quick response",5,2
"Very satisfied, thanks",5,2
"Great support, quick response",5,2
"Great support, quick response",5,2
"Very satisfied, thanks",4,2
"Very satisfied, thanks",5,2
"Terrible experience, unresolved",3,1
"Great support, quick response",2,0
"Great support, quick response",5,2
"Terrible experience, unresolved",3,1
Okay service,1,0
Okay service,4,2
Okay service,3,1
"Terrible experience, unresolved",1,0
"Great support, quick response",5,2
"Terrible experience, unresolved",1,0
"Terrible experience, unresolved",4,2
Okay service,4,2
"Not helpful, had to repeat issue",1,0
"Great support, quick response",1,0
Okay service,1,0
"Not helpful, had to repeat issue",3,1
"Not helpful, had to repeat issue",4,2
"Very satisfied, thanks",3,1
"Great support, quick response",1,0
"Not helpful, had to repeat issue",3,1
Okay service,2,0
"Very satisfied, thanks",5,2
"Great support, quick response",5,2
"Terrible experience, unresolved",1,0
Okay service,5,2
"Not helpful, had to repeat issue",4,2
"Not helpful, had to repeat issue",5,2
Okay service,4,2
"Not helpful, had to repeat issue",4,2
